	galaxia1	galaxiaC1
399	11016	9685
400	11092	11819
401	11118	10956
402	11156	11252
403	11163	11404
404	11192	10851
405	11202	10172
406	11230	11265
407	11245	10789
408	11248	9549
409	11252	11156
410	11264	908248
411	11265	11230
412	11282	2807112
413	11329	6595
414	11336	11156
415	11352	11515
416	11359	10994
417	11367	145186
418	11368	11521
419	11371	11643
420	11375	1109999
421	11383	12828
422	11397	11609
423	11403	11648
424	11404	11163
425	11420	170430
426	11453	10272
427	11479	11851
428	11480	900848
429	11503	11533
430	11508	11503
431	11511	11522
432	11515	10669
433	11521	11368
434	11522	11557
435	11527	11658
436	11533	11503
437	11543	2807112
438	11552	11771
439	11557	11522
440	11573	11970
441	11586	166465
442	11609	11397
443	11617	11643
444	11638	11818
445	11643	11617
446	11648	11403
447	11658	3652002
448	11670	12131
449	11744	13821
450	11750	827179
451	11771	11846
452	11774	1083844
453	11782	10669
454	11793	12480
455	11798	10965
456	11800	12439
457	11812	12209
458	11818	11638
459	11819	11950
460	11836	11984
461	11846	11771
462	11851	11950
463	11950	11819
464	11970	12068
465	11984	11836
466	12007	13569
467	12011	12285
468	12034	11950
469	12041	12053
470	12053	12041
471	12063	12073
472	12068	11970
473	12073	12578
474	12117	12368
475	12130	11774
476	12131	12068
477	12154	771919
478	12174	12480
479	12181	12653
480	12188	10496
481	12209	11812
482	12285	12011
483	12286	1014
484	12309	134015
485	12342	12755
486	12368	12117
487	12373	12412
488	12390	13036
489	12391	12174
490	12394	12466
491	12395	12956
492	12412	12373
493	12431	134015
494	12439	11800
495	12466	12394
496	12468	12471
497	12471	12468
498	12480	11793
499	12559	134015
500	12569	12653
501	12578	12073
502	12608	12626
503	12626	12608
504	12633	12664
505	12636	12952
506	12651	12788
507	12653	12769
508	12664	12633
509	12671	3094469
510	12701	12737
511	12706	12709
512	12709	12706
513	12737	12701
514	12754	3094469
515	12755	12756
516	12756	12755
517	12769	12653
518	12783	13333
519	12788	12651
520	12798	13122
521	12807	14397
522	12825	13146
523	12827	13211
524	12828	10051
525	12838	12701
526	12846	12754
527	12848	12769
528	12868	12876
529	12876	13121
530	12877	13277
531	12878	13097
532	12911	12769
533	12916	10854
534	12917	13177
535	12922	12981
536	12923	13106
537	12952	13097
538	12956	12395
539	12961	12989
540	12962	12559
541	12979	13029
542	12981	12922
543	12986	12989
544	12989	12961
545	13028	13084
546	13029	12979
547	13036	12390
548	13042	13172
549	13058	13360
550	13059	13028
551	13084	13266
552	13090	11836
553	13097	13267
554	13106	13197
555	13108	12838
556	13121	12876
557	13122	12922
558	13128	13042
559	13130	903751
560	13146	13335
561	13150	13172
562	13156	12755
563	13166	12981
564	13171	13544
565	13172	13150
566	13177	13146
567	13179	13687
568	13184	13150
569	13188	166471
570	13189	2726819
571	13190	13211
572	13196	13265
573	13197	13106
574	13200	12368
575	13211	13190
576	13220	13241
577	13230	13318
578	13241	13220
579	13252	13299
580	13255	13434
581	13265	13196
582	13266	13398
583	13267	13097
584	13269	13635
585	13277	13318
586	13281	13179
587	13299	13252
588	13301	2797282
589	13304	13408
590	13308	13200
591	13318	13230
592	13321	13418
593	13322	13727
594	13324	135045
595	13330	74766
596	13333	13753
597	13335	13266
598	13343	13360
599	13344	13360
600	13354	13398
601	13360	13344
602	13368	13821
603	13369	13372
604	13372	13369
605	13377	13425
606	13381	13457
607	13384	2807112
608	13386	74886
609	13398	13266
610	13399	13267
611	13404	13399
612	13408	13381
613	13418	13321
614	13419	13638
615	13425	13505
616	13429	13322
617	13433	13500
618	13434	13520
619	13457	13381
620	13458	13197
621	13470	12922
622	13471	13545
623	13490	13545
624	13495	13505
625	13498	166078
626	13500	13433
627	13501	165366
628	13505	13575
629	13511	74868
630	13512	13620
631	13520	13434
632	13531	13532
633	13532	13531
634	13534	13418
635	13543	13531
636	13544	13638
637	13545	13582
638	13548	13532
639	13550	13335
640	13552	74886
641	13557	15109
642	13561	13738
643	13569	13612
644	13570	13718
645	13571	14121
646	13575	13505
647	13578	13759
648	13582	13505
649	13586	14163
650	13602	735318
651	13608	13457
652	13609	13398
653	13611	13399
654	13612	13881
655	13616	14001
656	13620	170437
657	13631	13752
658	13635	13840
659	13638	13544
660	13646	14037
661	13648	74886
662	13655	13687
663	13687	13655
664	13689	13543
665	13693	166861
666	13695	13931
667	13712	166861
668	13716	13575
669	13718	13570
670	13727	14023
671	13738	13561
672	13752	13765
673	13753	13333
674	13758	13805
675	13759	13578
676	13760	14084
677	13761	16737
678	13765	13752
679	13794	74993
680	13805	13864
681	13809	13635
682	13821	13881
683	13826	15345
684	13840	13635
685	13853	14236
686	13864	13805
687	13871	13570
688	13880	13943
689	13881	13821
690	13912	13429
691	13926	13602
692	13931	14236
693	13943	13880
694	13950	13758
695	13957	13759
696	13976	903751
697	13999	16673
698	14001	13616
699	14022	14169
700	14023	13727
701	14037	145875
702	14076	14718
703	14077	13864
704	14079	14084
705	14084	14079
706	14106	14271
707	14117	3669554
708	14118	14117
709	14121	3669554
710	14123	17736
711	14162	14163
712	14163	14162
713	14169	14262
714	14190	14022
715	14216	17426
716	14236	13853
717	14239	13753
718	14255	3670796
719	14261	2722040
720	14262	14169
721	14271	14106
722	14286	19652
723	14343	2807112
724	14377	14458
725	14391	3669554
726	14397	14481
727	14409	13881
728	14432	166864
729	14458	14377
730	14481	14757
731	14500	14458
732	14508	14531
733	14514	170437
734	14526	15315
735	14531	14508
736	14558	13586
737	14582	14965
738	14600	14609
739	14609	14600
740	14617	14670
741	14620	3674198
742	14626	3093306
743	14635	14670
744	14636	14765
745	14638	14077
746	14659	14965
747	14670	14635
748	14673	16402
749	14674	14670
750	14678	213274
751	14695	13926
752	14702	132188
753	14718	135713
754	14723	3674198
755	14736	14718
756	14757	14723
757	14762	213274
758	14765	15153
759	14772	135126
760	14773	14814
761	14814	14773
762	14816	14910
763	14824	14723
764	14897	15055
765	14910	14816
766	14936	13881
767	14965	14659
768	15018	16030
769	15055	14897
770	15109	5061160
771	15147	86270
772	15149	15055
773	15153	14765
774	15175	15857
775	15179	15147
776	15212	15263
777	15214	90718
778	15263	15212
779	15312	14001
780	15315	15388
781	15345	13826
782	15356	1030097
783	15388	15405
784	15405	15388
785	15455	15587
