V,I
2.25,0.0128
2.34,0.0233
2.45,0.0382
2.54,0.0513
2.6,0.0687
2.65,0.0748
2.67,0.1129
2.73,0.0814
2.68,0.0851
2.72,0.1034
2.8,0.1687
2.73,0.107
2.78,0.1526
2.74,0.1167
2.76,0.1297
2.8,0.1632
2.77,0.1359
2.78,0.1487
2.81,0.1817
2.82,0.1869
2.82,0.1948
2.95,0.461
2.85,0.237
2.93,0.385
2.96,0.47
3.02,0.743
3.12,1.346
3.18,1.977
3.17,1.852
3.13,1.441
3.11,1.297
3.16,1.727
3.07,1.036
3.16,1.8
3.14,1.595
3.19,2.13
3.21,2.26
3.26,2.99
3.23,2.64
3,0.62
