tiempo(s),A0(V),A1(V)
0.0044,0,0
0.0045,2.39,2.38
0.0046,2.4,2.4
0.0047,2.41,2.41
0.0048,2.424,2.439
0.0049,2.434,2.439
0.005,2.454,2.444
0.0051,2.463,2.454
0.0052,2.458,2.463
0.0053,2.439,2.439
0.0054,2.424,2.419
0.0055,2.4,2.405
0.0056,2.4,2.424
0.0057,2.405,2.424
0.0058,2.405,2.414
0.0059,2.41,2.414
0.006,2.429,2.414
0.0061,2.414,2.414
0.0062,2.419,2.468
0.0063,2.449,2.468
0.0064,2.458,2.463
0.0065,2.468,2.449
0.0066,2.468,2.463
0.0067,2.468,2.454
0.0068,2.468,2.468
0.0069,2.468,2.473
0.007,2.463,2.468
0.0071,2.458,2.463
0.0072,2.454,2.458
0.0073,2.439,2.463
0.0074,2.434,2.454
0.0075,2.468,2.449
0.0076,2.463,2.429
0.0077,2.454,2.439
0.0078,2.458,2.439
0.0079,2.483,2.439
0.008,2.478,2.454
0.0081,2.463,2.439
0.0082,2.458,2.439
0.0083,2.468,2.444
0.0084,2.463,2.454
0.0085,2.463,2.463
0.0086,2.463,2.468
0.0087,2.458,2.463
0.0088,2.449,2.463
0.0089,2.444,2.468
0.009,2.444,2.478
0.0091,2.454,2.478
0.0092,2.454,2.483
0.0093,2.454,2.478
0.0094,2.449,2.473
0.0095,2.458,2.463
0.0096,2.473,2.444
0.0097,2.454,2.429
0.0098,2.444,2.429
0.0099,2.439,2.449
0.01,2.463,2.439
0.0101,2.458,2.439
0.0102,2.458,2.454
0.0103,2.463,2.463
0.0104,2.463,2.458
0.0105,2.463,2.439
0.0106,2.449,2.458
0.0107,2.439,2.458
0.0108,2.444,2.424
0.0109,2.439,2.444
0.011,2.444,2.463
0.0111,2.454,2.468
0.0112,2.449,2.458
0.0113,2.444,2.458
0.0114,2.439,2.449
0.0115,2.444,2.449
0.0116,2.454,2.454
0.0117,2.449,2.444
0.0118,2.439,2.444
0.0119,2.439,2.444
0.012,2.458,2.449
0.0121,2.458,2.454
0.0122,2.454,2.463
0.0123,2.463,2.458
0.0124,2.483,2.463
0.0125,2.498,2.483
0.0126,2.527,2.498
0.0127,2.522,2.498
0.0128,2.507,2.478
0.0129,2.493,2.463
0.013,2.468,2.439
0.0131,2.429,2.444
0.0132,2.434,2.454
0.0133,2.458,2.429
0.0134,2.454,2.449
0.0135,2.468,2.439
0.0136,2.473,2.463
0.0137,2.483,2.488
0.0138,2.483,2.498
0.0139,2.468,2.493
0.014,2.463,2.488
0.0141,2.468,2.488
0.0142,2.463,2.483
0.0143,2.478,2.488
0.0144,2.463,2.478
0.0145,0,0
0.0146,0,0
0.0147,0,0
0.0148,0,0
0.0149,0,0
0.015,0,0
0.0151,0,0
0.0152,0,0
0.0153,0,0
0.0154,0,0
0.0155,0,0
0.0156,0,0
0.0157,0,0
0.0158,0,0
0.0159,0,0
0.016,0,0
0.0161,0,0
0.0162,0,0
0.0163,0,0
0.0164,0,0
0.0165,0,0
0.0166,0,0
0.0167,0,0
0.0168,0,0
0.0169,0,0
0.017,0,0
0.0171,0,0
0.0172,0,0
0.0173,0,0
0.0174,0,0
0.0175,0,0
0.0176,0,0
0.0177,0,0
0.0178,0,0
0.0179,0,0
0.018,0,0
0.0181,0,0
0.0182,0,0
0.0183,0,0
0.0184,0,0
0.0185,0,0
0.0186,0,0
0.0187,0,0
0.0188,0,0
0.0189,0,0
0.019,0,0
0.0191,0,0
0.0192,0,0
0.0193,0,0
0.0194,0,0
0.0195,0,0
0.0196,0,0
0.0197,0,0
0.0198,0,0
0.0199,0,0
0.02,0,0
0.0201,0,0
0.0202,0,0
0.0203,0,0
0.0204,0,0
0.0205,0,0
0.0206,0,0
0.0207,0,0
0.0208,0,0
0.0209,0,0
0.021,0,0
0.0211,0,0
0.0212,0,0
0.0213,0,0
0.0214,0,0
0.0215,0,0
0.0216,0,0
0.0217,0,0
0.0218,0,0
0.0219,0,0
0.022,0,0
0.0221,0,0
0.0222,0,0
0.0223,0,0
0.0224,0,0
0.0225,0,0
0.0226,0,0
0.0227,0,0
0.0228,0,0
0.0229,0,0
0.023,0,0
0.0231,0,0
0.0232,0,0
0.0233,0,0
0.0234,0,0
0.0235,0,0
0.0236,0,0
0.0237,0,0
0.0238,0,0
0.0239,0,0
0.024,0,0
0.0241,0,0
0.0242,0,0
0.0243,0,0
0.0244,0,0
0.0245,2.463,2.478
0.0246,2.458,2.483
0.0247,2.454,2.468
0.0248,2.468,2.483
0.0249,2.468,2.478
0.025,2.468,2.478
0.0251,2.468,2.468
0.0252,2.468,2.468
0.0253,2.478,2.458
0.0254,2.468,2.454
0.0255,2.468,2.454
0.0256,2.473,2.458
0.0257,2.488,2.463
0.0258,2.483,2.458
0.0259,2.473,2.454
0.026,2.454,2.454
0.0261,2.439,2.449
0.0262,2.444,2.449
0.0263,2.424,2.444
0.0264,2.414,2.463
0.0265,2.424,2.478
