t,f(t)
21.8,-1.68250868664396
21.9,-1.09943022796816
22,2.18122002291682
22.1,5.16439941099384
22.2,5.03628126252387
22.3,0.940250984893807
22.4,-5.44091593146381
22.5,-10.8553219666231
22.6,-12.4205158539628
22.7,-9.35738345617582
22.8,-3.46880289823576
22.9,1.9279268666917
23,3.96973811101441
23.1,1.92736371985283
23.2,-2.41777696302522
23.3,-5.9220428971018
23.4,-6.05058481090063
23.5,-2.4694972957469
23.6,2.71162917841773
23.7,6.19754303988311
23.8,5.50459554823982
23.9,0.48613703756372
24,-6.54085389124178
24.1,-12.1480215133951
24.2,-13.8112014019066
24.3,-11.372357287229
24.4,-7.06723052022014
24.5,-4.1079854803835
24.6,-4.68603332859902
24.7,-8.61082226611308
24.8,-13.4131209641056
24.9,-15.8512340061497
25,-13.9057452903539
25.1,-8.05027503371111
25.2,-1.0233466095558
25.3,3.76551937331135
25.4,4.23462217584709
25.5,0.827515137319885
