V,I
1.988,0.0002
2.34,0.0012
2.43,0.0079
2.45,0.0114
2.48,0.0258
2.52,0.0627
2.55,0.1354
2.56,0.1716
2.62,0.582
2.63,0.656
2.64,0.717
2.66,0.901
2.68,1.189
2.69,1.428
2.71,1.626
2.72,1.92
2.73,2
2.74,2.22
2.75,2.37
2.76,2.64
2.77,2.82
2.8,3.54
2.81,3.75
2.82,4
2.82,4.31
2.84,4.4
2.85,4.75
2.86,5.06
2.87,5.32
2.88,5.58
2.89,6.06
2.9,6.04
2.91,6.52
2.92,6.96
2.93,7.42
2.94,7.61
2.95,8.07
2.96,8.43
2.97,8.16
2.98,8.99
