Objeto,Ángulo de Máxima Desviación (segundos de arco),Angulo de Máxima Desviación (grados),Ángulo de Máxima Desviación (rad),Radio (km),Masa (kg),Omega (rad/s)
Sol,4.3072,0.0011964517006434225,2.088202151731328e-05,696340.0,1.989e+30,2.8653290845717256e-06
Júpiter,18543.7983,5.151055083896931,0.08990287116559417,69911.0,1.898e+27,0.00018256582133831898
Tierra,707.7089,0.19658581471438935,0.0034310697294816102,6371.0,5.972e+24,7.27220521664304e-05
Marte,946.464,0.2629066693509696,0.004588587005626483,3389.5,6.39e+23,7.089070885435944e-05
Luna,1.5633,0.0004342580233208316,7.579232310150833e-06,1737.1,7.342e+22,2.6618613530904243e-06
Estrella de neutrones,29412.0224,8.170006215978987,0.14259350837723628,12.0,2.8e+30,3926.990816987241
