0 1008
1 992
2 1011
3 1038
4 1054
5 1004
6 1012
7 1060
8 1075
9 1073
10 1102
11 1168
12 1194
13 1282
14 1407
15 1585
16 1744
17 1815
18 1853
19 1812
20 1855
21 1780
22 1734
23 1559
24 1368
25 1190
26 1134
27 1083
28 1034
29 1034
30 999
31 1017
32 1002
33 1019
34 1023
35 1036
36 1011
37 987
38 1010
39 1012
40 1012
41 988
42 1008
43 1005
44 1022
45 1000
46 996
47 976
48 973
49 1007
50 1028
51 1028
52 1008
53 991
54 1000
55 1008
56 974
57 990
58 1004
59 1008
60 998
61 1007
62 1003
63 1002
64 1016
65 1009
66 1002
